"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1900",,,"        73","        41","        3","         2","        20","       153","        36","       165","        55","-26.7","279","279.0","61.5","39.4","-2.2","-2.2","-5.0","-11.1","-11.1","0.0","-4.4","-4.4","-6.7","-9.4",,,"568.0","402.0","10.0","17.4","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1901","596.6","596.6","        94","        56","       18","         5","        20","       155","        41","       151","        45","-30.0","203","152.0","50.0","43.3","0.0","-2.8","-6.7","-6.7","-11.1","0.0","-3.3","-5.6","-7.2","-13.9","3488.5","3488.5","707.5","424.0","9.5","16.4","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1902","323.3","323.3","        82","        54","       62","        17","        28","       157","        54","       142","        24","-28.9","508","114.0","38.4","41.1","-2.2","-2.2","-7.8","-7.8","-10.6","0.0","-2.2","-6.1","-9.4","-9.4","3859.1","3859.1","556.3","1184.0","8.1","14.9","1.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1903","338.3","338.3","        82","        47","       95","        10","        24","       156","        57","       141","        16","-30.0","457","127.0","34.8","38.3","-2.8","-2.8","-8.3","-8.3","-8.9","-6.7","-6.7","-6.7","-6.7","-8.9","4080.5","4080.5","519.3","646.0","7.9","14.5","1.3"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1904","348.3","348.3","        74","        35","       53","         6","        30","       156","        47","       149","        27","-31.1","229","152.0","38.4","40.6","-0.6","-2.8","-6.1","-12.8","-12.8","-0.6","-2.8","-11.7","-11.7","-11.7","4207.4","4207.4","422.0","662.0","8.4","15.5","1.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1905","379.4","379.4","       100","        61","       48","         9","        29","       149","        55","       136","        26","-37.8","203","152.0","38.4","38.3","-1.7","-3.9","-7.8","-7.8","-13.3","-1.7","-2.8","-5.0","-6.7","-10.0","3839.3","3839.3","630.2","640.0","8.2","14.8","1.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1906","382.7","382.7","        87","        61","       58","        10","        21","       152","        60","       139","        29","-27.2","584","102.0","71.1","38.3","-1.7","-6.1","-6.1","-9.4","-9.4","-1.1","-2.8","-5.0","-17.8","-17.8","3827.8","3827.8","853.1","1210.0","8.4","14.8","2.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1907",,,,,"       50","        13",,,,,,,"254","152.0",,,,,,,,,,,,,,,,"919.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1908",,,"        83","        56","       56","        10","        12","       163",,,,"-25.6","203","203.0","49.8",,"-1.7","-5.0","-5.0","-10.0","-10.0","-0.6","-5.6","-5.6","-12.2","-12.2",,,"661.6","872.0",,,"2.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1909","533.7","533.7","        82","        53","       92","        20","        32","       168","        68","       145","        44","-31.7","406","203.0","52.1","40.0","-2.2","-2.2","-5.6","-10.0","-10.0","-0.6","-5.6","-5.6","-7.2","-9.4","4074.0","4074.0","543.2","1286.0","7.9","14.4","1.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1910","489.9","489.9","        60","        38","       86","        11","        21","       145","        53","       172","        49","-28.3","686","203.0","38.1","39.4","-0.6","-6.7","-6.7","-6.7","-12.2","0.0","-2.8","-5.0","-13.9","-13.9","3923.4","3923.4","423.8","874.0","9.3","16.4","2.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1911","514.5","514.5","        81","        46","       67","        12","        21","       164","        49","       145","        41","-31.7","178","305.0","63.5","38.9","-1.7","-2.2","-6.1","-14.4","-14.4","-3.3","-3.3","-6.1","-6.7","-8.9","3732.6","3732.6","598.9","978.0","8.8","15.4","2.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1912","402.7","402.7","        71","        45","       58","         7","        30","       163","        56","       143","        28","-38.3","127","102.0","54.1","38.9","0.0","-2.8","-7.2","-7.2","-9.4","-0.6","-4.4","-4.4","-16.7","-16.7","4438.1","4438.1","525.1","419.0","8.2","15.0","1.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1913","628.2","628.2","        89","        47","       39","         7","        30","       150","        44","       150","        52","-28.3","152","178.0","49.5","38.9","0.0","-3.9","-5.0","-10.6","-10.6","-1.1","-3.3","-5.0","-18.9","-18.9","3914.8","3914.8","503.6","677.0","9.4","16.3","2.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1914","547.4","547.4","        97","        53","       59","        14","        30","       146","        56","       162","        38","-32.2","178","152.0","57.2","40.0","-1.1","-2.8","-5.0","-7.2","-9.4","-1.7","-2.2","-8.3","-8.3","-9.4","3690.6","3690.6","657.2","776.0","9.2","15.9","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1915","196.5","196.5","       106","        63","      109","        15","        11","       146","        71","       140","         1","-28.3","737","127.0","36.3","34.4","-3.9","-3.9","-5.0","-8.3","-9.4","-2.2","-2.2","-5.0","-10.0","-10.0","4069.3","4069.3","737.1","1325.0","7.9","13.4","2.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1916","548.4","548.4","        82","        44","       70","        14","        49","       158","        67","       144","        43","-35.6","152","102.0","45.7","38.3","-0.6","-3.3","-10.6","-10.6","-10.6","0.0","-5.0","-5.0","-6.7","-10.0","4050.0","4050.0","485.8","702.0","7.8","14.4","1.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1917","363.7","363.7","        82","        57","       67","        20","        39","       164","        62","       127","        24","-35.0","330","152.0","40.4","41.1","-9.4","-9.4","-9.4","-9.4","-9.4","0.0","-2.2","-4.4","-7.2","-13.9","4509.8","4509.8","561.8","1118.0","7.0","13.3","0.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1918","444.2","444.2","        78","        52","       64","        17","        28","       156","        52","       149","        33","-33.3","203","152.0","42.7","37.2","-2.2","-2.2","-6.7","-6.7","-8.9","-1.1","-5.0","-5.0","-8.9","-8.9","4111.6","4111.6","571.2","1094.0","8.7","15.2","2.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1919","573.7","573.7","        79","        54","       98","        22","        28","       161","        62","       138","        34","-31.7","356","229.0","85.1","40.6","-10.6","-10.6","-10.6","-10.6","-10.6","-5.0","-5.0","-5.0","-7.2","-11.7","3838.2","3838.2","594.1","1281.0","8.1","13.8","2.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1920","411.6","411.6","        75","        47","       42","        10","        21","       161","        52","       140","        30","-31.1","305","279.0","51.3","36.7","-4.4","-4.4","-4.4","-7.2","-9.4","0.0","-2.2","-4.4","-9.4","-9.4","4402.7","4402.7","608.3","913.0","8.3","14.3","2.3"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1921","567.9","567.9","        54","        37",,"         6","        13","       168","        35","       166","        49","-28.9",,"102.0","79.0","39.4","0.0","-5.0","-5.0","-12.2","-12.2","-4.4","-4.4","-4.4","-7.2","-9.4","3422.9","3422.9","514.4","382.0","10.4","18.0","2.9"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1922","502.5","502.5","        54","        40",,"         8","        43","       165","        54","       168","        45","-33.9",,"203.0","31.8","38.9","-1.1","-2.2","-6.7","-6.7","-9.4","0.0","-2.8","-6.7","-6.7","-15.0","4040.0","4040.0","499.4","902.0","8.6","16.3","1.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1923","439.4","439.4","        62","        47",,"         7","        19","       177","        30","       157","        29","-29.4",,"102.0","57.7","38.3","-0.6","-3.9","-8.3","-8.3","-8.9","-1.7","-2.8","-5.6","-6.7","-11.7","3850.4","3850.4","528.3","354.0","9.3","17.0","1.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1924","303.0","303.0","        56","        44",,"        10","        40","       169","        58","       149","        21","-36.7",,"152.0","40.1","38.3","-1.7","-2.2","-6.7","-6.7","-9.4","-0.6","-5.0","-5.0","-7.2","-20.0","3976.4","3976.4","530.7","889.0","7.6","15.0","0.1"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1925","501.6","501.6","        49","        32",,"         3","        24","       169","        34","       125","        46","-26.7",,"76.0","50.5","42.2","-1.7","-2.2","-5.6","-8.9","-8.9","-2.2","-2.2","-6.1","-7.2","-10.0","3818.1","3818.1","416.5","178.0","9.1","16.6","1.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1926","654.1","654.1","        44","        30",,"         3","        13","       172","        28","       181","        66","-26.1",,"74.0","36.1","45.6","-7.2","-7.2","-7.2","-7.2","-10.0","-1.1","-7.2","-7.2","-7.2","-8.9","3585.6","3585.6","411.3","150.0","10.3","18.4","2.2"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1927","436.4","436.4","        64","        48",,"         8","        32","       162","        46","       150","        36","-31.1",,"254.0","38.1","38.3","-1.1","-2.2","-5.0","-6.7","-14.4","-1.1","-5.6","-5.6","-10.0","-10.0","3654.6","3654.6","538.2","1105.0","8.7","16.4","1.1"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1928","487.7","487.7","        53","        34",,"         4","        11","       172","        22","       161","        49","-31.1",,"229.0","35.6","42.2","-3.3","-3.3","-5.6","-9.4","-9.4","-2.2","-2.2","-7.8","-7.8","-13.3","3895.5","3895.5","369.0","363.0","9.8","17.7","1.9"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1929","524.2","524.2","        61","        48",,"         6","        41","       168","        63","       134","        53","-30.6",,"203.0","63.5","43.3","-1.7","-3.9","-5.0","-6.7","-10.0","-2.8","-2.8","-4.4","-7.2","-10.6","4067.5","4067.5","555.5","575.0","7.9","14.9","1.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1930","608.0","608.0","        49","        37",,"         3","        22","       152","        37","       166","        49","-32.8",,"102.0","56.4","43.3","0.0","-3.3","-4.4","-8.3","-11.1","0.0","-3.9","-5.6","-6.7","-10.0","3936.1","3936.1","527.3","254.0","10.0","17.1","2.9"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1931","816.2","816.2","        47","        38",,"         5","         6","       168","        23","       177","        78","-23.3",,"152.0","38.1","43.3","-0.6","-4.4","-4.4","-8.3","-11.1","-4.4","-4.4","-4.4","-7.8","-8.9","3266.0","3266.0","411.5","429.0","11.5","19.5","3.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1933","778.5","778.5","        35","        33","        7","         4","        17","       156","        33","       170","        80","-32.2","76","76.0","56.4","43.9","-3.3","-3.3","-6.7","-6.7","-9.4","-4.4","-4.4","-4.4","-8.3","-11.7","3710.3","3710.3","430.1","256.0","10.9","18.8","3.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1934","816.6","816.6","        35","        31","       11","         7","        17","       151","        26","       175","        85","-26.7","152","127.0","44.5","46.1","0.0","-3.9","-7.2","-7.2","-9.4","-3.3","-3.3","-4.4","-7.8","-8.9","3170.2","3170.2","303.9","418.0","11.4","19.1","3.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1935","624.8","624.8","        64","        52",,"         7","        20","       175","        41","       138","        69","-28.9",,"102.0","22.9","44.4","0.0","-4.4","-4.4","-6.7","-8.9","-1.1","-5.6","-5.6","-6.7","-10.0","3594.7","3594.7","491.1","419.0","9.1","16.3","2.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1936",,,"        52","        39",,"        15",,,,,,,,"127.0","31.8",,,,,,,,,,,,"4648.3","4648.3","327.9","1093.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1937","715.3","715.3","        47","        46",,"        13","        45","       157","        59","       166","        75","-32.2",,"127.0","47.0","44.4","-0.6","-2.2","-12.2","-12.2","-12.2","0.0","-2.2","-6.7","-6.7","-8.9",,,"423.2","658.0","8.3","15.9","0.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1938",,,"        61","        53",,"        10",,,,,,,,"254.0","57.7",,,,,,,,,,,,"3863.4","3863.4","594.0","709.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1939","635.5","635.5","        45","        35",,"         4","        18","       165","        34","       173","        74","-28.9",,"102.0","56.9","42.2","0.0","-3.3","-6.7","-6.7","-9.4","0.0","-2.2","-12.2","-12.2","-12.2",,,"487.9","267.0","10.6","18.6","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1940","703.3","703.3","        58","        42",,"        10","        37","       170","        74","       173","        69","-33.3",,"178.0","29.7","46.7","0.0","-6.7","-6.7","-6.7","-8.9","-1.7","-7.2","-7.2","-7.2","-10.0","3854.9","3854.9","386.5","626.0","9.0","16.1","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1941","633.8","633.8","        78","        48",,"        11","        14","       156","        52","       155","        62","-24.4",,"102.0","47.2","42.8","-1.1","-3.9","-6.1","-9.4","-9.4","-1.1","-2.2","-4.4","-6.7","-16.7","3672.3","3672.3","603.2","475.0","9.8","16.6","2.9"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1942",,,,,,"        10",,,,,,,,"279.0",,,,,,,,,,,,,"3615.7","3615.7",,"928.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1943",,,"        55","        33","       27","        14","        37","       172",,,,"-31.7","127","102.0","34.8",,"-0.6","-3.3","-6.7","-6.7","-8.9","-5.6","-5.6","-5.6","-6.7","-18.9",,,"360.7","678.0",,,"0.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1944",,,,,,"         9",,,,,,,,"102.0",,,,,,,,,,,,,,,,"522.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1945","393.6","393.6","        70","        51","       11","         9","        17","       169","        40","       152","        41","-27.2","152","152.0","37.3","40.6","-0.6","-3.3","-8.3","-8.3","-16.1","-0.6","-3.9","-4.4","-10.6","-10.6",,,"433.5","456.0","8.8","16.2","1.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1946",,,"        65","        50","       14","         5",,,,,,,"102","102.0","57.2",,,,,,,,,,,,"3714.3","3714.3","740.1","331.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1947",,,"        58","        47",,,,,,,,,,,"32.3",,,,,,,,,,,,,,"508.3",,,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1948",,,"        64","        45","       31","        11",,,,,,,"127","127.0","31.0",,,,,,,,,,,,,,"468.7","455.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1949","501.1","501.1","        62","        48",,"         7","        37","       149","        54","       155","        42","-30.6",,"203.0","41.9","40.6","-3.3","-3.3","-5.0","-8.9","-8.9","0.0","-2.8","-5.6","-11.1","-11.1",,,"602.4","456.0","8.8","16.2","1.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1950",,,"        55","        41",,"        15",,,,,,,,"178.0","141.0",,,,,,,,,,,,,,"643.3","824.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1951",,,"        84","        70","       39","        18",,,,,,,"330","114.0","47.0",,,,,,,,,,,,,,"723.9","1005.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1952",,,"        53","        44",,"        12",,,,,,,,"102.0","29.2",,,,,,,,,,,,,,"379.7","725.0",,,
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1953","525.6","525.6",,,,,"        10","       160","        30","       160","        38","-28.3",,,,"38.3","-2.8","-2.8","-5.0","-7.8","-11.1","0.0","-5.0","-5.0","-7.2","-8.9","3662.8","3662.8",,,"9.9","16.8","2.9"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1954","430.1","430.1","        64","        38","       65","         7","        16","       155","        33","       148","        27","-30.0","178","178.0","74.7","42.8","-1.1","-2.2","-5.0","-7.2","-13.9","-1.1","-4.4","-4.4","-7.2","-11.1","3419.7","3419.7","561.2","796.0","9.5","16.5","2.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1955",,,"        53","        28","       64","        13",,,"        74","       172","        62",,"330","178.0","28.4","42.8",,,,,,,,,,,"3546.4","3546.4","311.1","894.0",,"16.4",
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1956","517.8","517.8","        64","        34","       83","        13","        26","       164","        52","       159","        43","-28.9","406","406.0","40.6","40.6","0.0","-2.2","-8.3","-8.3","-9.4","0.0","-3.9","-4.4","-8.3","-13.9",,,"408.5","1270.0","8.9","16.0","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1957","435.5","435.5","        72","        55","       28","        11","        19","       161","        44","       136","        29","-27.2","279","203.0","38.6","38.3","0.0","-2.8","-7.8","-7.8","-8.9","-1.1","-4.4","-4.4","-6.7","-10.0","3833.6","3833.6","680.9","863.0","8.6","14.7","2.4"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1958","467.0","467.0","        62","        43","       42","        15","        23","       157","        59","       162","        46","-27.8","178","102.0","24.1","38.3","0.0","-2.2","-5.6","-8.3","-15.0","0.0","-5.6","-5.6","-11.7","-11.7","3782.0","3782.0","405.0","607.0","8.9","16.0","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1959","671.9","671.9","        68","        54","       45","        17","        26","       162","        53","       145","        63","-28.9","152","203.0","55.9","41.1","-2.2","-2.2","-4.4","-7.8","-11.1","-5.0","-5.0","-5.0","-7.2","-10.0","3882.1","3882.1","572.5","1141.0","9.0","15.9","2.0"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1960","520.1","520.1","        74","        51","      119","        15","        34","       160","        74","       151","        42","-29.4","279","203.0","63.0","40.6","-2.2","-2.2","-7.8","-7.8","-10.6","-3.9","-3.9","-5.0","-7.8","-11.1","4354.1","4354.1","555.5","1001.0","8.2","14.7","1.7"
